,"Group name","Hab area (proportion)","Biomass in habitat area (t/km²)","Total mortality (/year)","Production / biomass (/year)","Consumption / biomass (/year)","Ecotrophic Efficiency","Other mortality","Production / consumption","Unassim. consumption","Detritus import (t/km²/year)",
1,"Killer whales",1,0.007524,,0.02,1.075269,,,,0.2,,
2,"Leopard Seal",1,0.008352,,0.27,15.16854,,,,0.2,,
3,"Weddell Seal",1,0.081212,,0.08,4.597701,,,,0.2,,
4,"Crabeater Seal",1,1.097774,,0.1,5.952381,,,,0.2,,
5,"Antarctic fur seals",1,0.001032318,,0.17,9.659091,,,,0.2,,
6,"S Elephant Seals",1,0.001035257,,0.21,12.06896,,,,0.2,,
7,"Sperm Whales",1,0.02839939,,0.29,16.66667,,,,0.2,,
8,"Blue Whales",1,0.0071769,,0.04,2.531646,,,,0.2,,
9,"Fin Whales",1,0.0428043,,0.0315,2.55,,,,0.2,,
10,"Minke Whales",1,0.0472752,,0.095,5.654762,,,,0.2,,
11,"Humpback whales",1,0.08118936,,0.04,2.380952,,,,0.2,,
12,"Emperor Penguins",1,0.000115949,,0.1945,13.89286,,,,0.2,,
13,"Gentoo Penguins",1,0.001161069,,0.22,15.2777,,,,0.2,,
14,"Chinstrap Penguins",1,0.02142,,0.22,15.2778,,,,0.2,,
15,"Adelie Penguins",1,0.00583,,0.12,36.61972,,,,0.2,,
16,"Macaroni Penguins",1,0.000114505,,0.11,7.638889,,,,0.2,,
17,"Flying Birds",1,0.004,,0.088,4.888889,,,,0.2,,
18,Cephalopods,1,2.49,,3.15,30.28846,,,,0.2,,
19,Myctophids,1,3.27,,1.1,10.58,,,,0.2,,
20,"On-shelf fish",1,5.25,,0.46,4.423077,,,,0.2,,
21,"N. rossii",1,0.138,,0.29,2.788,,,,0.2,,
22,"C gunnari",1,0.9,,0.48,4.615385,,,,0.2,,
23,"G gibberifrons",1,1.2,,0.46,4.423077,,,,0.2,,
24,Salps,1,320,,3,12.245,,,,0.2,,
25,"Benthic invertbrates",1,85.5375,,0.5,2.19,,,,0.2,,
,krill,,,,,,,,,,,
26,"Krill Large",1,81.26,0.8,,3.57,,,,0.2,,
27,"Krill Small",1,28.93069,0.8,,6.512738,,,,0.2,,
28,"Other Euphausiids",1,148,,1.5,6.6964,,,,0.2,,
29,Micro-Zool,1,25,,55,275,,,,0.2,,
30,"Meso zooplankton",1,130,,4.81,19.63265,,,,0.2,,
31,Macro-zoopl,1,35,,2.5,8.92857,,,,0.2,,
32,"Small phytoplankton",1,,,75,,0.5,,,,,
33,"Large phytoplankton",1,,,75,,0.5,,,,,
34,"Ice Algae",1,,,50,,0.5,,,,,
35,Detritus,1,5.77,,,,,,,,0,
