,"Prey \ predator",killerwhales_dat (Killer whales),leopardseal_dat (Leopard Seal),weddellseal_dat (Weddell Seal),crabeater_dat (Crabeater Seal),antfurseals_dat (Antarctic fur seals),elephantseals_dat (S Elephant Seals),spermwhales_dat (Sperm Whales),bluewhales_dat (Blue Whales),finwhales_dat (Fin Whales),minkewhales_dat (Minke Whales),humpbackwhales_dat (Humpback whales),emperorpenguins_dat (Emperor Penguins),gentoopenguins_dat (Gentoo Penguins),chinstrappenguins_dat (Chinstrap Penguins),adeliepenguins_dat (Adelie Penguins),macaronipenguins_dat (Macaroni Penguins),flyingbirds_dat (Flying Birds),cephalopods_dat (Cephalopods),myctophids_dat (Myctophids),onshelffish_dat (On-shelf fish),nrossii_dat (N. rossii),cgunnari_dat (C gunnari),ggibberifrons_dat (G gibberifrons),salps_dat (Salps),benthicinvert_dat (Benthic invertebrates),krilllarge_dat (Krill Large),krillsmall_dat (Krill Small),othereuphausiids_dat (Other Euphausiids),microzool_dat (Micro-Zool),mesozoopl_dat (Meso zooplankton),macrozoopl_dat (Macro-zoopl),
1,"Killer whales",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2,"Leopard Seal",0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3,"Weddell Seal",0.465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
4,"Crabeater Seal",0.365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
5,"Antarctic fur seals",0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
6,"S Elephant Seals",0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7,"Sperm Whales",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
8,"Blue Whales",0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
9,"Fin Whales",0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
10,"Minke Whales",0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
