Year,nrossii_fleet_dat (N. rossii Fleet),cgunnari_fleet_dat (C. gunnari Fleet),krill_dat (Krill),
1996,1,1,0.6355782,
1996.083,1,1,2.37446,
1996.167,1,1,3.07039,
1996.25,1,1,3.372148,
1996.333,1,1,2.815781,
1996.417,1,1,1.041066,
1996.5,1,1,0.03017582,
1996.583,1,1,0,
1996.667,1,1,0,
1996.75,1,1,1.124049,
1996.833,1,1,1.022206,
1996.917,1,1,1.210805,
1997,1,1,1.634285,
1997.083,1,1,2.385776,
1997.167,1,1,2.461215,
1997.25,1,1,2.927054,
1997.333,1,1,3.834215,
1997.417,1,1,0.4262334,
1997.5,1,1,0,
1997.583,1,1,0,
1997.667,1,1,0,
1997.75,1,1,0.2263186,
1997.833,1,1,0.1112733,
1997.917,1,1,0.8750988,
1998,1,1,1.101417,
1998.083,1,1,2.070816,
1998.167,1,1,2.417838,
1998.25,1,1,1.967086,
1998.333,1,1,2.495163,
1998.417,1,1,1.548397,
1998.5,1,1,1.03918,
1998.583,1,1,0,
1998.667,1,1,0,
1998.75,1,1,0.5111029,
1998.833,1,1,0.08675548,
1998.917,1,1,0.2961002,
1999,1,1,1.256068,
1999.083,1,1,1.937853,
1999.167,1,1,1.813378,
1999.25,1,1,2.170773,
1999.333,1,1,0.04337774,
1999.417,1,1,0.1508791,
1999.5,1,1,0,
1999.583,1,1,0.3092079,
1999.667,1,1,0.7416651,
1999.75,1,1,0.6883859,
1999.833,1,1,1.869015,
1999.917,1,1,0.1015228,
2000,1,1,0.9714351,
2000.083,1,1,2.432303,
2000.167,1,1,1.93676,
2000.25,1,1,2.203658,
2000.333,1,1,3.203408,
2000.417,1,1,0.8072032,
2000.5,1,1,0.3974721,
2000.583,1,1,0.3267475,
2000.667,1,1,0,
2000.75,1,1,0,
2000.833,1,1,0,
2000.917,1,1,0.30851,
2001,1,1,0.6504398,
2001.083,1,1,0.3941717,
2001.167,1,1,0.3570742,
2001.25,1,1,0.8920727,
2001.333,1,1,1.616512,
2001.417,1,1,1.581376,
2001.5,1,1,0.7487375,
2001.583,1,1,0,
2001.667,1,1,0,
2001.75,1,1,0,
2001.833,1,1,0,
2001.917,1,1,0,
2002,1,1,0.03362718,
2002.083,1,1,0.2253757,
2002.167,1,1,0.1720965,
2002.25,1,1,0.07434568,
2002.333,1,1,0.4213676,
2002.417,1,1,0.256966,
2002.5,1,1,0,
2002.583,1,1,0,
2002.667,1,1,0,
2002.75,1,1,0,
2002.833,1,1,0,
2002.917,1,1,0.03771977,
2003,1,1,0.09508526,
2003.083,1,1,0.721705,
2003.167,1,1,0.7902607,
2003.25,1,1,0.8703209,
2003.333,1,1,2.230905,
2003.417,1,1,0.03787694,
2003.5,1,1,0,
2003.583,1,1,0,
2003.667,1,1,0,
2003.75,1,1,0,
2003.833,1,1,0,
2003.917,1,1,0.01099531,
2004,1,1,0.03191093,
2004.083,1,1,0.6783147,
2004.167,1,1,1.775476,
2004.25,1,1,0.2229867,
2004.333,1,1,0.1364764,
2004.417,1,1,0.1939362,
2004.5,1,1,0.3391008,
2004.583,1,1,0.05155036,
2004.667,1,1,0,
2004.75,1,1,0.07874003,
2004.833,1,1,0,
2004.917,1,1,0,
2005,1,1,0,
2005.083,1,1,0.1661179,
2005.167,1,1,0.4436789,
2005.25,1,1,0.1611012,
2005.333,1,1,0.167853,
2005.417,1,1,0,
2005.5,1,1,0,
2005.583,1,1,0.1694184,
2005.667,1,1,0.02796921,
2005.75,1,1,0,
2005.833,1,1,0,
2005.917,1,1,0,
2006,1,1,0,
2006.083,1,1,0,
2006.167,1,1,1.196094,
2006.25,1,1,2.557395,
2006.333,1,1,2.195461,
2006.417,1,1,1.584545,
2006.5,1,1,1.784013,
2006.583,1,1,0.492111,
2006.667,1,1,0,
2006.75,1,1,0.2124755,
2006.833,1,1,0,
2006.917,1,1,0.4108627,
2007,1,1,0.2376346,
2007.083,1,1,0.2678104,
2007.167,1,1,0.7109549,
2007.25,1,1,0.2470645,
2007.333,1,1,0,
2007.417,1,1,0.08219767,
2007.5,1,1,0,
2007.583,1,1,0,
2007.667,1,1,0,
2007.75,1,1,0,
2007.833,1,1,0,
2007.917,1,1,0.4677252,
2008,1,1,0.3017582,
2008.083,1,1,0.04903571,
2008.167,1,1,0,
2008.25,1,1,0,
2008.333,1,1,0,
2008.417,1,1,0,
2008.5,1,1,0,
2008.583,1,1,0,
2008.667,1,1,0,
2008.75,1,1,0,
2008.833,1,1,0,
2008.917,1,1,0,
2009,1,1,0.2093447,
2009.083,1,1,0,
2009.167,1,1,0.496015,
2009.25,1,1,0.9543103,
2009.333,1,1,0.3225041,
2009.417,1,1,0,
2009.5,1,1,0,
2009.583,1,1,0,
2009.667,1,1,0,
2009.75,1,1,0.07543955,
2009.833,1,1,0.3206181,
2009.917,1,1,0.1768114,
2010,1,1,0.05730262,
2010.083,1,1,0.1505648,
2010.167,1,1,1.05672,
2010.25,1,1,3.150261,
2010.333,1,1,2.399135,
2010.417,1,1,4.436034,
2010.5,1,1,4.073264,
2010.583,1,1,2.758667,
2010.667,1,1,3.978965,
2010.75,1,1,0.5409644,
2010.833,1,1,0,
2010.917,1,1,0.3355174,
2011,1,1,0.1328679,
2011.083,1,1,0,
2011.167,1,1,0.01791689,
2011.25,1,1,0.21582,
2011.333,1,1,0.898485,
2011.417,1,1,0,
2011.5,1,1,0,
2011.583,1,1,0,
2011.667,1,1,0,
2011.75,1,1,0,
2011.833,1,1,0,
2011.917,1,1,0.8113524,
2012,1,1,0.8866033,
2012.083,1,1,0.2272616,
2012.167,1,1,0.7228995,
2012.25,1,1,2.184164,
2012.333,1,1,3.577155,
2012.417,1,1,2.307884,
2012.5,1,1,0.1005232,
2012.583,1,1,0,
2012.667,1,1,0,
2012.75,1,1,0.1554055,
2012.833,1,1,0.7387418,
2012.917,1,1,0.08807568,
,,,,
