Year,fursealpups_dat (Fur Seal pups),esuperba_gm2_dat (E. superba in g/m²),esuperba_tons_dat (E. superba in tons),adelie_dat (Adelie Penguins),chinstrap_dat (Chinstrap Penguins),gentoo_dat (Gentoo Penguins),cgunnari_dat (C. gunnari),ggibberifrons_dat (G. gibberifrons),nrossii_dat (N. rossii),
1996,4968,88.93756,0.09557846,12435,NA,0,NA,0,NA,
1997,5689,171.9531,0.07775669,10185,9739,2299,NA,0,NA,
1998,4943,83.49939,0.08779108,9749,9889,2280,0.2311874,38709,344,
1999,5497,28.67778,0.06034644,10946,9565,2599,NA,0,NA,
2000,5865,94.38747,0.1159737,9222,9261,2989,NA,0,NA,
2001,5951,20.08717,0.07151035,8714,8262,2828,0.1449805,14022,873,
2002,6453,8.587917,0.01703201,6607,7540,3033,0.08547081,13889,1793,
2003,5868,57.02677,0.0560759,6261,7123,3035,0.2274503,9898,772,
2004,6428,14.55658,0.02193714,5350,6339,3424,NA,0,NA,
2005,6000,30.35737,0.01125759,4669,6142,3423,NA,0,NA,
2006,5791,41.39536,0.1425749,3917,5693,3804,NA,0,NA,
2007,6119,109.9418,0.02910247,3270,4160,3517,0.04110752,7258,37634,
2008,4172,122.1932,0.003065201,3023,5154,4996,NA,0,NA,
2009,4722,72.26735,0.05518207,3321,5164,4287,NA,0,NA,
2010,4268,49.75551,0.246496,2850,5144,5648,NA,0,NA,
2011,3758,60.90725,0.02817297,3358,5071,5715,NA,0,NA,
2012,3428,NA,0.1023112,NA,5184,6249,0.70885,7661,61381,

