"lat","lon","vals","standard_name","long_name","units"
-60.125,-69.875,384922699.6099872,"area","area of grid cell","m2"
-60.125,-69.625,384922699.6099876,,,
-60.125,-69.375,384922699.60998994,,,
-60.125,-69.125,384922699.61001116,,,
-60.125,-68.875,384922699.609988,,,
-60.125,-68.625,384922699.60998946,,,
-60.125,-68.375,384922699.6099986,,,
-60.125,-68.125,384922699.60998905,,,
-60.125,-67.875,384922699.6100085,,,
-60.125,-67.625,384922699.6099923,,,
-60.125,-67.375,384922699.6099892,,,
-60.125,-67.125,384922699.60999256,,,
-60.125,-66.875,384922699.61001027,,,
-60.125,-66.625,384922699.609988,,,
-60.125,-66.375,384922699.60998863,,,
-60.125,-66.125,384922699.60999733,,,
-60.125,-65.875,384922699.6099866,,,
-60.125,-65.625,384922699.61000806,,,
-60.125,-65.375,384922699.6099908,,,
-60.125,-65.125,384922699.60999143,,,
-60.125,-64.875,384922699.60998994,,,
-60.125,-64.625,384922699.6100076,,,
-60.125,-64.375,384922699.60998595,,,
-60.125,-64.125,384922699.6099912,,,
-60.125,-63.875,384922699.6099886,,,
-60.125,-63.625,384922699.6099909,,,
-60.125,-63.375,384922699.61001045,,,
-60.125,-63.125,384922699.6099899,,,
-60.125,-62.875,384922699.609987,,,
-60.125,-62.625,384922699.609987,,,
-60.125,-62.375,384922699.6100187,,,
-60.125,-62.125,384922699.60998875,,,
-60.125,-61.875,384922699.60998434,,,
-60.125,-61.625,384922699.60999453,,,
-60.125,-61.375,384922699.60998505,,,
-60.125,-61.125,384922699.61001235,,,
-60.125,-60.875,384922699.6099886,,,
-60.125,-60.625,384922699.60998774,,,
-60.125,-60.375,384922699.60999304,,,
-60.125,-60.125,384922699.610009,,,
-60.125,-59.875,384922699.6099834,,,
-60.125,-59.625,384922699.60999733,,,
-60.125,-59.375,384922699.60999036,,,
-60.125,-59.125,384922699.60998595,,,
-60.125,-58.875,384922699.6100128,,,
-60.125,-58.625,384922699.6099904,,,
-60.125,-58.375,384922699.6099932,,,
-60.125,-58.125,384922699.6099908,,,
-60.125,-57.875,384922699.6100053,,,
-60.125,-57.625,384922699.60998887,,,
-60.125,-57.375,384922699.6099927,,,
-60.125,-57.125,384922699.6099912,,,
-60.125,-56.875,384922699.6100032,,,
-60.125,-56.625,384922699.6099851,,,
-60.125,-56.375,384922699.60999775,,,
-60.125,-56.125,384922699.6099876,,,
-60.125,-55.875,384922699.61000174,,,
-60.125,-55.625,384922699.6099891,,,
-60.125,-55.375,384922699.61000794,,,
-60.125,-55.125,384922699.60998946,,,
-60.125,-54.875,384922699.6099905,,,
-60.125,-54.625,384922699.60999405,,,
-60.125,-54.375,384922699.6099912,,,
-60.125,-54.125,384922699.6099987,,,
-60.125,-53.875,384922699.60999566,,,
-60.125,-53.625,384922699.6100027,,,
-60.125,-53.375,384922699.6099847,,,
-60.125,-53.125,384922699.60999835,,,
-60.125,-52.875,384922699.6099832,,,
-60.125,-52.625,384922699.609999,,,
-60.125,-52.375,384922699.60999775,,,
-60.125,-52.125,384922699.60998964,,,
-60.125,-51.875,384922699.60999405,,,
-60.125,-51.625,384922699.60999215,,,
-60.125,-51.375,384922699.60999894,,,
-60.125,-51.125,384922699.60999656,,,
-60.125,-50.875,384922699.6099994,,,
-60.125,-50.625,384922699.60998154,,,
-60.125,-50.375,384922699.6099886,,,
-60.125,-50.125,384922699.61001045,,,
-60.375,-69.875,381995273.1949068,,,
-60.375,-69.625,381995273.19490886,,,
-60.375,-69.375,381995273.1949102,,,
-60.375,-69.125,381995273.1949314,,,
