saup,country,region
36,AUS,AustraliaNZ
162,CXR,AustraliaNZ
554,NZL,AustraliaNZ
574,NFK,AustraliaNZ
28,ATG,Caribbean
44,BHS,Caribbean
52,BRB,Caribbean
92,VGB,Caribbean
136,CYM,Caribbean
192,CUB,Caribbean
212,DMA,Caribbean
214,DOM,Caribbean
308,GRD,Caribbean
312,GLP,Caribbean
332,HTI,Caribbean
388,JAM,Caribbean
474,MTQ,Caribbean
500,MSR,Caribbean
532,ANT,Caribbean
533,ABW,Caribbean
534,CUW,Caribbean
630,PRI,Caribbean
659,KNA,Caribbean
660,AIA,Caribbean
662,LCA,Caribbean
670,VCT,Caribbean
780,TTO,Caribbean
796,TCA,Caribbean
850,VIR,Caribbean
904,MAF,Caribbean
905,BLM,Caribbean
84,BLZ,LatinAmerica
188,CRI,LatinAmerica
222,SLV,LatinAmerica
320,GTM,LatinAmerica
340,HND,LatinAmerica
558,NIC,LatinAmerica
591,PAN,LatinAmerica
156,CHN,NorthEastAsia
157,TWN,NorthEastAsia
344,HKG,NorthEastAsia
446,MAC,NorthEastAsia
8,ALB,Europe
56,BEL,Europe
70,BIH,Europe
100,BGR,Europe
191,HRV,Europe
196,CYP,Europe
208,DNK,Europe
233,EST,Europe
234,FRO,Europe
246,FIN,Europe
250,FRA,Europe
268,GEO,Europe
276,DEU,Europe
292,GIB,Europe
300,GRC,Europe
304,GRL,Europe
352,ISL,Europe
372,IRL,Europe
380,ITA,Europe
428,LVA,Europe
440,LTU,Europe
470,MLT,Europe
492,MCO,Europe
528,NLD,Europe
578,NOR,Europe
616,POL,Europe
620,PRT,Europe
621,RAM,Europe
622,RAA,Europe
642,ROU,Europe
643,RUS,Europe
705,SVN,Europe
724,ESP,Europe
744,SJM,Europe
752,SWE,Europe
804,UKR,Europe
810,SUN,Europe
826,GBR,Europe
830,,Europe
833,IMN,Europe
890,YUG,Europe
892,MNE,Europe
900,,Europe
50,BGD,IndianP
86,IOT,IndianP
356,IND,IndianP
586,PAK,IndianP
16,ASM,IslandsNations
60,BMU,IslandsNations
90,SLB,IslandsNations
184,COK,IslandsNations
242,FJI,IslandsNations
258,PYF,IslandsNations
296,KIR,IslandsNations
316,GUM,IslandsNations
462,MDV,IslandsNations
520,NRU,IslandsNations
540,NCL,IslandsNations
548,VUT,IslandsNations
570,NIU,IslandsNations
580,MNP,IslandsNations
583,FSM,IslandsNations
584,MHL,IslandsNations
585,PLW,IslandsNations
598,PNG,IslandsNations
612,PCN,IslandsNations
654,SHN,IslandsNations
678,STP,IslandsNations
690,SYC,IslandsNations
772,TKL,IslandsNations
776,TON,IslandsNations
798,TUV,IslandsNations
876,WLF,IslandsNations
882,WSM,IslandsNations
392,JPN,NorthEastAsia
408,PRK,NorthEastAsia
410,KOR,NorthEastAsia
4,AFG,Landlocked
20,AND,Landlocked
31,AZE,Landlocked
40,AUT,Landlocked
51,ARM,Landlocked
64,BTN,Landlocked
68,BOL,Landlocked
72,BWA,Landlocked
108,BDI,Landlocked
112,BLR,Landlocked
140,CAF,Landlocked
148,TCD,Landlocked
200,CSK,Landlocked
203,CZE,Landlocked
230,ETH,Landlocked
348,HUN,Landlocked
398,KAZ,Landlocked
417,KGZ,Landlocked
418,LAO,Landlocked
426,LSO,Landlocked
438,LIE,Landlocked
442,LUX,Landlocked
454,MWI,Landlocked
466,MLI,Landlocked
496,MNG,Landlocked
498,MDA,Landlocked
524,NPL,Landlocked
562,NER,Landlocked
600,PRY,Landlocked
646,RWA,Landlocked
674,SMR,Landlocked
703,SVK,Landlocked
748,SWZ,Landlocked
756,CHE,Landlocked
762,TJK,Landlocked
795,TKM,Landlocked
800,UGA,Landlocked
807,MKD,Landlocked
854,BFA,Landlocked
860,UZB,Landlocked
891,SRB,Landlocked
894,ZMB,Landlocked
12,DZA,MidEast
434,LBY,MidEast
478,MRT,MidEast
504,MAR,MidEast
788,TUN,MidEast
48,BHR,MidEast
274,PSE,MidEast
364,IRN,MidEast
368,IRQ,MidEast
376,ISR,MidEast
400,JOR,MidEast
414,KWT,MidEast
422,LBN,MidEast
512,OMN,MidEast
634,QAT,MidEast
682,SAU,MidEast
732,ESH,MidEast
760,SYR,MidEast
784,ARE,MidEast
792,TUR,MidEast
818,EGY,MidEast
887,YEM,MidEast
124,CAN,NorthAmerica
484,MEX,NorthAmerica
666,SPM,NorthAmerica
840,USA,NorthAmerica
132,CPV,NWAfrica
270,GMB,NWAfrica
324,GIN,NWAfrica
624,GNB,NWAfrica
686,SEN,NWAfrica
694,SLE,NWAfrica
32,ARG,LatinAmerica
76,BRA,LatinAmerica
152,CHL,LatinAmerica
170,COL,LatinAmerica
218,ECU,LatinAmerica
238,FLK,LatinAmerica
254,GUF,LatinAmerica
328,GUY,LatinAmerica
604,PER,LatinAmerica
740,SUR,LatinAmerica
858,URY,LatinAmerica
862,VEN,LatinAmerica
96,BRN,SouthEastAsia
104,MMR,SouthEastAsia
116,KHM,SouthEastAsia
144,LKA,SouthEastAsia
360,IDN,SouthEastAsia
458,MYS,SouthEastAsia
608,PHL,SouthEastAsia
626,TLS,SouthEastAsia
702,SGP,SouthEastAsia
704,VNM,SouthEastAsia
764,THA,SouthEastAsia
24,AGO,SubAfrica
111,ERI,SubAfrica
120,CMR,SubAfrica
174,COM,SubAfrica
175,MYT,SubAfrica
178,COG,SubAfrica
180,COD,SubAfrica
204,BEN,SubAfrica
226,GNQ,SubAfrica
262,DJI,SubAfrica
266,GAB,SubAfrica
288,GHA,SubAfrica
384,CIV,SubAfrica
404,KEN,SubAfrica
430,LBR,SubAfrica
450,MDG,SubAfrica
480,MUS,SubAfrica
508,MOZ,SubAfrica
516,NAM,SubAfrica
566,NGA,SubAfrica
638,REU,SubAfrica
706,SOM,SubAfrica
710,ZAF,SubAfrica
716,ZWE,SubAfrica
736,SDN,SubAfrica
768,TGO,SubAfrica
834,TZA,SubAfrica
999,NA,Unknown
