prey,Cephalopods,Myctophids,On-shelf fish,Notothenia rossii,Champsocephalus gunnari,Gobionotothen gibberifrons,Antarctic Krill,Other Euphausiids,Killer Whale,Leopard Seal,Weddell Seal,Crabeater Seal,Antarctic Fur Seal,Southern Elephant Seal,Sperm Whale,Blue Whale,Fin Whale,Minke Whale,Humpback Whale,Emperor Penguin,Gentoo Penguin,Chinstrap Penguin,Adelie Penguin,Macaroni Penguin,Flying Birds,Salps
Cephalopods,0,0,0.055,0,0,0.01,0,0,0,0.078,0.08,0.075,0.054,0.6,0.85,0,0,0,0.06,0.1,0,0,0,0.01,0.46,0
Myctophids,0.02,0,0.02,0.1,0.01,0.02,0,0,0.029,0.04,0.05,0.075,0.2,0.1,0.005,0,0.015,0.01,0.04,0,0.1,0.0225,0.0125,0.1,0.043,0
On-shelf fish,0.02,0,0,0,0,0,0,0,0.02,0,0.6,0.07,0.2,0.14,0.045,0,0.015,0.01,0.04,0.38,0.1,0.0225,0,0.12,0.087,0
Notothenia rossii,0,0,0,0,0,0,0,0,0.005,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0
Champsocephalus gunnari,0,0,0.015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5e-4,0,0,0
Gobionotothen gibberifrons,0,0,0,0,0,0,0,0,0.01,0.15,0.22,0,0,0.06,0,0,0,0,0,0,0,0,0.0125,0,0,0
Antarctic Krill,0.4,0.25,0.25,0.6,0.9,0.09,0,0,0,0.7,0,0.78,0.5,0,0,0.61,0.71,0.76,0.76,0.52,0.8,0.95,0.962,0.34,0.3,0.001
Other Euphausiids,0.15,0.35,0.135,0.2,0.08,0,0,0,0,0,0,0,0,0,0,0.2,0.12,0.11,0,0,0,0,0,0.35,0,0
Killer Whale,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Leopard Seal,0,0,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Weddell Seal,0,0,0,0,0,0,0,0,0.465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Crabeater Seal,0,0,0,0,0,0,0,0,0.365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Antarctic Fur Seal,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Southern Elephant Seal,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sperm Whale,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Blue Whale,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fin Whale,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Minke Whale,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Humpback Whale,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Emperor Penguin,0,0,0,0,0,0,0,0,1e-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gentoo Penguin,0,0,0,0,0,0,0,0,0.002,0.001,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0
Chinstrap Penguin,0,0,0,0,0,0,0,0,0.02,0.03,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0
Adelie Penguin,0,0,0,0,0,0,0,0,0.004,0,0,0,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0
Macaroni Penguin,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0
Flying Birds,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Salps,0,0,0.01,0.02,0,0.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
