prey,predator,interaction
Cephalopods,Cephalopods,0
Cephalopods,Myctophids,0
Cephalopods,On-shelf fish,0.055
Cephalopods,Notothenia rossii,0
Cephalopods,Champsocephalus gunnari,0
Cephalopods,Gobionotothen gibberifrons,0.01
Cephalopods,Antarctic Krill,0
Cephalopods,Other Euphausiids,0
Cephalopods,Killer Whale,0
Cephalopods,Leopard Seal,0.078
Cephalopods,Weddell Seal,0.08
Cephalopods,Crabeater Seal,0.075
Cephalopods,Antarctic Fur Seal,0.054
Cephalopods,Southern Elephant Seal,0.6
Cephalopods,Sperm Whale,0.85
Cephalopods,Blue Whale,0
Cephalopods,Fin Whale,0
Cephalopods,Minke Whale,0
Cephalopods,Humpback Whale,0.06
Cephalopods,Emperor Penguin,0.1
Cephalopods,Gentoo Penguin,0
Cephalopods,Chinstrap Penguin,0
Cephalopods,Adelie Penguin,0
Cephalopods,Macaroni Penguin,0.01
Cephalopods,Flying Birds,0.46
Cephalopods,Salps,0
Myctophids,Cephalopods,0.02
Myctophids,Myctophids,0
Myctophids,On-shelf fish,0.02
Myctophids,Notothenia rossii,0.1
Myctophids,Champsocephalus gunnari,0.01
Myctophids,Gobionotothen gibberifrons,0.02
Myctophids,Antarctic Krill,0
Myctophids,Other Euphausiids,0
Myctophids,Killer Whale,0.029
Myctophids,Leopard Seal,0.04
Myctophids,Weddell Seal,0.05
Myctophids,Crabeater Seal,0.075
Myctophids,Antarctic Fur Seal,0.2
Myctophids,Southern Elephant Seal,0.1
Myctophids,Sperm Whale,0.005
Myctophids,Blue Whale,0
Myctophids,Fin Whale,0.015
Myctophids,Minke Whale,0.01
Myctophids,Humpback Whale,0.04
Myctophids,Emperor Penguin,0
Myctophids,Gentoo Penguin,0.1
Myctophids,Chinstrap Penguin,0.0225
Myctophids,Adelie Penguin,0.0125
Myctophids,Macaroni Penguin,0.1
Myctophids,Flying Birds,0.043
Myctophids,Salps,0
On-shelf fish,Cephalopods,0.02
On-shelf fish,Myctophids,0
On-shelf fish,On-shelf fish,0
On-shelf fish,Notothenia rossii,0
On-shelf fish,Champsocephalus gunnari,0
On-shelf fish,Gobionotothen gibberifrons,0
On-shelf fish,Antarctic Krill,0
On-shelf fish,Other Euphausiids,0
On-shelf fish,Killer Whale,0.02
On-shelf fish,Leopard Seal,0
On-shelf fish,Weddell Seal,0.6
On-shelf fish,Crabeater Seal,0.07
On-shelf fish,Antarctic Fur Seal,0.2
On-shelf fish,Southern Elephant Seal,0.14
On-shelf fish,Sperm Whale,0.045
On-shelf fish,Blue Whale,0
On-shelf fish,Fin Whale,0.015
On-shelf fish,Minke Whale,0.01
On-shelf fish,Humpback Whale,0.04
On-shelf fish,Emperor Penguin,0.38
On-shelf fish,Gentoo Penguin,0.1
On-shelf fish,Chinstrap Penguin,0.0225
On-shelf fish,Adelie Penguin,0
On-shelf fish,Macaroni Penguin,0.12
On-shelf fish,Flying Birds,0.087
On-shelf fish,Salps,0
Notothenia rossii,Cephalopods,0
Notothenia rossii,Myctophids,0
Notothenia rossii,On-shelf fish,0
Notothenia rossii,Notothenia rossii,0
Notothenia rossii,Champsocephalus gunnari,0
Notothenia rossii,Gobionotothen gibberifrons,0
Notothenia rossii,Antarctic Krill,0
Notothenia rossii,Other Euphausiids,0
Notothenia rossii,Killer Whale,0.005
Notothenia rossii,Leopard Seal,0
Notothenia rossii,Weddell Seal,0
Notothenia rossii,Crabeater Seal,0
Notothenia rossii,Antarctic Fur Seal,0
Notothenia rossii,Southern Elephant Seal,0.1
Notothenia rossii,Sperm Whale,0
Notothenia rossii,Blue Whale,0
Notothenia rossii,Fin Whale,0
Notothenia rossii,Minke Whale,0
Notothenia rossii,Humpback Whale,0
Notothenia rossii,Emperor Penguin,0
Notothenia rossii,Gentoo Penguin,0
Notothenia rossii,Chinstrap Penguin,0
Notothenia rossii,Adelie Penguin,0
Notothenia rossii,Macaroni Penguin,0
Notothenia rossii,Flying Birds,0
Notothenia rossii,Salps,0
Champsocephalus gunnari,Cephalopods,0
Champsocephalus gunnari,Myctophids,0
Champsocephalus gunnari,On-shelf fish,0.015
Champsocephalus gunnari,Notothenia rossii,0
Champsocephalus gunnari,Champsocephalus gunnari,0
Champsocephalus gunnari,Gobionotothen gibberifrons,0
Champsocephalus gunnari,Antarctic Krill,0
Champsocephalus gunnari,Other Euphausiids,0
Champsocephalus gunnari,Killer Whale,0
Champsocephalus gunnari,Leopard Seal,0
Champsocephalus gunnari,Weddell Seal,0
Champsocephalus gunnari,Crabeater Seal,0
Champsocephalus gunnari,Antarctic Fur Seal,0
Champsocephalus gunnari,Southern Elephant Seal,0
Champsocephalus gunnari,Sperm Whale,0
Champsocephalus gunnari,Blue Whale,0
Champsocephalus gunnari,Fin Whale,0
Champsocephalus gunnari,Minke Whale,0
Champsocephalus gunnari,Humpback Whale,0
Champsocephalus gunnari,Emperor Penguin,0
Champsocephalus gunnari,Gentoo Penguin,0
Champsocephalus gunnari,Chinstrap Penguin,0
Champsocephalus gunnari,Adelie Penguin,5e-4
Champsocephalus gunnari,Macaroni Penguin,0
Champsocephalus gunnari,Flying Birds,0
Champsocephalus gunnari,Salps,0
Gobionotothen gibberifrons,Cephalopods,0
Gobionotothen gibberifrons,Myctophids,0
Gobionotothen gibberifrons,On-shelf fish,0
Gobionotothen gibberifrons,Notothenia rossii,0
Gobionotothen gibberifrons,Champsocephalus gunnari,0
Gobionotothen gibberifrons,Gobionotothen gibberifrons,0
Gobionotothen gibberifrons,Antarctic Krill,0
Gobionotothen gibberifrons,Other Euphausiids,0
Gobionotothen gibberifrons,Killer Whale,0.01
Gobionotothen gibberifrons,Leopard Seal,0.15
Gobionotothen gibberifrons,Weddell Seal,0.22
Gobionotothen gibberifrons,Crabeater Seal,0
Gobionotothen gibberifrons,Antarctic Fur Seal,0
Gobionotothen gibberifrons,Southern Elephant Seal,0.06
Gobionotothen gibberifrons,Sperm Whale,0
Gobionotothen gibberifrons,Blue Whale,0
Gobionotothen gibberifrons,Fin Whale,0
Gobionotothen gibberifrons,Minke Whale,0
Gobionotothen gibberifrons,Humpback Whale,0
Gobionotothen gibberifrons,Emperor Penguin,0
Gobionotothen gibberifrons,Gentoo Penguin,0
Gobionotothen gibberifrons,Chinstrap Penguin,0
Gobionotothen gibberifrons,Adelie Penguin,0.0125
Gobionotothen gibberifrons,Macaroni Penguin,0
Gobionotothen gibberifrons,Flying Birds,0
Gobionotothen gibberifrons,Salps,0
Antarctic Krill,Cephalopods,0.4
Antarctic Krill,Myctophids,0.25
Antarctic Krill,On-shelf fish,0.25
Antarctic Krill,Notothenia rossii,0.6
Antarctic Krill,Champsocephalus gunnari,0.9
Antarctic Krill,Gobionotothen gibberifrons,0.09
Antarctic Krill,Antarctic Krill,0
Antarctic Krill,Other Euphausiids,0
Antarctic Krill,Killer Whale,0
Antarctic Krill,Leopard Seal,0.7
Antarctic Krill,Weddell Seal,0
Antarctic Krill,Crabeater Seal,0.78
Antarctic Krill,Antarctic Fur Seal,0.5
Antarctic Krill,Southern Elephant Seal,0
Antarctic Krill,Sperm Whale,0
Antarctic Krill,Blue Whale,0.61
Antarctic Krill,Fin Whale,0.71
Antarctic Krill,Minke Whale,0.76
Antarctic Krill,Humpback Whale,0.76
Antarctic Krill,Emperor Penguin,0.52
Antarctic Krill,Gentoo Penguin,0.8
Antarctic Krill,Chinstrap Penguin,0.95
Antarctic Krill,Adelie Penguin,0.962
Antarctic Krill,Macaroni Penguin,0.34
Antarctic Krill,Flying Birds,0.3
Antarctic Krill,Salps,0.001
Other Euphausiids,Cephalopods,0.15
Other Euphausiids,Myctophids,0.35
Other Euphausiids,On-shelf fish,0.135
Other Euphausiids,Notothenia rossii,0.2
Other Euphausiids,Champsocephalus gunnari,0.08
Other Euphausiids,Gobionotothen gibberifrons,0
Other Euphausiids,Antarctic Krill,0
Other Euphausiids,Other Euphausiids,0
Other Euphausiids,Killer Whale,0
Other Euphausiids,Leopard Seal,0
Other Euphausiids,Weddell Seal,0
Other Euphausiids,Crabeater Seal,0
Other Euphausiids,Antarctic Fur Seal,0
Other Euphausiids,Southern Elephant Seal,0
Other Euphausiids,Sperm Whale,0
Other Euphausiids,Blue Whale,0.2
Other Euphausiids,Fin Whale,0.12
Other Euphausiids,Minke Whale,0.11
Other Euphausiids,Humpback Whale,0
Other Euphausiids,Emperor Penguin,0
Other Euphausiids,Gentoo Penguin,0
Other Euphausiids,Chinstrap Penguin,0
Other Euphausiids,Adelie Penguin,0
Other Euphausiids,Macaroni Penguin,0.35
Other Euphausiids,Flying Birds,0
Other Euphausiids,Salps,0
Killer Whale,Cephalopods,0
Killer Whale,Myctophids,0
Killer Whale,On-shelf fish,0
Killer Whale,Notothenia rossii,0
Killer Whale,Champsocephalus gunnari,0
Killer Whale,Gobionotothen gibberifrons,0
Killer Whale,Antarctic Krill,0
Killer Whale,Other Euphausiids,0
Killer Whale,Killer Whale,0
Killer Whale,Leopard Seal,0
Killer Whale,Weddell Seal,0
Killer Whale,Crabeater Seal,0
Killer Whale,Antarctic Fur Seal,0
Killer Whale,Southern Elephant Seal,0
Killer Whale,Sperm Whale,0
Killer Whale,Blue Whale,0
Killer Whale,Fin Whale,0
Killer Whale,Minke Whale,0
Killer Whale,Humpback Whale,0
Killer Whale,Emperor Penguin,0
Killer Whale,Gentoo Penguin,0
Killer Whale,Chinstrap Penguin,0
Killer Whale,Adelie Penguin,0
Killer Whale,Macaroni Penguin,0
Killer Whale,Flying Birds,0
Killer Whale,Salps,0
Leopard Seal,Cephalopods,0
Leopard Seal,Myctophids,0
Leopard Seal,On-shelf fish,0
Leopard Seal,Notothenia rossii,0
Leopard Seal,Champsocephalus gunnari,0
Leopard Seal,Gobionotothen gibberifrons,0
Leopard Seal,Antarctic Krill,0
Leopard Seal,Other Euphausiids,0
Leopard Seal,Killer Whale,0.03
Leopard Seal,Leopard Seal,0
Leopard Seal,Weddell Seal,0
Leopard Seal,Crabeater Seal,0
Leopard Seal,Antarctic Fur Seal,0
Leopard Seal,Southern Elephant Seal,0
Leopard Seal,Sperm Whale,0
Leopard Seal,Blue Whale,0
Leopard Seal,Fin Whale,0
Leopard Seal,Minke Whale,0
Leopard Seal,Humpback Whale,0
Leopard Seal,Emperor Penguin,0
Leopard Seal,Gentoo Penguin,0
Leopard Seal,Chinstrap Penguin,0
Leopard Seal,Adelie Penguin,0
Leopard Seal,Macaroni Penguin,0
Leopard Seal,Flying Birds,0
Leopard Seal,Salps,0
Weddell Seal,Cephalopods,0
Weddell Seal,Myctophids,0
Weddell Seal,On-shelf fish,0
Weddell Seal,Notothenia rossii,0
Weddell Seal,Champsocephalus gunnari,0
Weddell Seal,Gobionotothen gibberifrons,0
Weddell Seal,Antarctic Krill,0
Weddell Seal,Other Euphausiids,0
Weddell Seal,Killer Whale,0.465
Weddell Seal,Leopard Seal,0
Weddell Seal,Weddell Seal,0
Weddell Seal,Crabeater Seal,0
Weddell Seal,Antarctic Fur Seal,0
Weddell Seal,Southern Elephant Seal,0
Weddell Seal,Sperm Whale,0
Weddell Seal,Blue Whale,0
Weddell Seal,Fin Whale,0
Weddell Seal,Minke Whale,0
Weddell Seal,Humpback Whale,0
Weddell Seal,Emperor Penguin,0
Weddell Seal,Gentoo Penguin,0
Weddell Seal,Chinstrap Penguin,0
Weddell Seal,Adelie Penguin,0
Weddell Seal,Macaroni Penguin,0
Weddell Seal,Flying Birds,0
Weddell Seal,Salps,0
Crabeater Seal,Cephalopods,0
Crabeater Seal,Myctophids,0
Crabeater Seal,On-shelf fish,0
Crabeater Seal,Notothenia rossii,0
